Index,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Weight_segment,Price,Price-binned,Screen-Full_HD,Screen-IPS_panel
37,HP,3,2,1,7,14,0.620689655,8,256,3.59415,Medium,1255,Low,1,0
38,HP,3,2,1,5,13,0.862068966,4,256,4.10622103,Medium,888,Low,0,1
39,Lenovo,3,1,1,5,14,0.551724138,8,256,3.85875,Medium,1418,Low,0,1
40,Asus,4,2,1,7,14,0.620689655,8,256,2.75625,Light,1396,Low,1,0
41,HP,4,2,1,5,14,0.931034483,4,256,3.2634,Medium,1374,Low,1,0
42,HP,3,1,1,5,15.6,0.551724138,6,256,4.21155,Medium,786,Low,1,0
43,Acer,3,3,1,5,17,0.551724138,4,256,6.615,Heavy,1023,Low,0,1
44,Dell,3,1,1,5,15.6,0.551724138,8,256,4.69665,Heavy,925,Low,1,0
45,Lenovo,1,3,1,7,15,0.965517241,16,256,5.5125,Heavy,1371,Low,0,1
46,Acer,3,3,1,5,17,0.551724138,8,256,6.615,Heavy,1085,Low,0,1
47,Huawei,4,2,1,5,13,0.862068966,8,256,2.31525,Light,1714,Medium,0,1
48,HP,3,3,1,5,17.3,0.551724138,8,256,5.5125,Heavy,1172,Low,1,0
49,Dell,4,2,1,5,13.3,0.551724138,8,256,4.10622103,Medium,1777,Medium,1,0
50,Acer,4,2,1,5,13,0.413793103,8,256,2.4696,Light,1256,Low,0,1
51,HP,3,3,1,7,17.3,0.620689655,8,256,5.5125,Heavy,1327,Low,1,0
52,Dell,4,2,1,7,13.3,0.620689655,8,256,2.646,Light,1841,Medium,1,0
53,Dell,4,1,1,7,13,0.620689655,8,256,3.087,Light,1184,Low,0,1
54,HP,3,3,1,7,14,0.620689655,8,256,3.59415,Medium,1310,Low,1,0
55,Dell,4,2,1,5,14,0.551724138,8,256,3.528,Medium,1460,Low,1,0
56,Dell,3,1,2,5,15.6,0.551724138,8,256,4.851,Heavy,860,Low,1,0
57,Toshiba,4,2,1,7,13.3,0.862068966,8,256,2.646,Light,1731,Medium,1,0
58,Acer,3,3,1,7,15.6,0.931034483,8,256,4.851,Heavy,1057,Low,1,0
59,Asus,3,3,1,5,15.6,0.862068966,8,256,4.41,Medium,977,Low,1,0
60,Dell,3,2,1,5,14,0.862068966,8,256,3.528,Medium,1091,Low,1,0
61,Dell,3,1,2,7,15.6,0.931034483,16,256,4.10622103,Medium,1142,Low,1,0
62,Acer,1,3,1,5,15,0.862068966,8,256,5.5125,Heavy,1075,Low,0,1
63,Dell,1,3,1,5,15.6,0.862068966,8,256,5.6448,Heavy,1117,Low,1,0
64,Asus,1,3,1,7,17.3,1,16,256,7.938,Heavy,3810,High,1,0
65,Acer,3,3,1,3,17,0.931034483,4,256,6.615,Heavy,892,Low,0,1
66,Dell,4,2,1,5,13.3,0.551724138,8,256,3.10905,Light,1206,Low,1,0
67,Lenovo,3,2,1,7,15.6,0.620689655,8,256,4.52025,Heavy,1118,Low,1,0
68,Dell,3,1,2,7,15.6,0.620689655,8,256,4.10622103,Medium,934,Low,1,0
69,Lenovo,1,3,1,5,15,0.862068966,8,256,5.5125,Heavy,1053,Low,0,1
70,Lenovo,3,2,1,5,15.6,0.862068966,6,256,4.851,Heavy,735,Low,1,0
71,Acer,3,3,1,7,15,0.620689655,8,256,6.615,Heavy,1208,Low,0,1
72,Lenovo,3,2,1,7,15,0.931034483,8,256,4.29975,Medium,1394,Low,0,1
73,Asus,4,3,1,5,15.6,0.862068966,8,256,3.7485,Medium,1241,Low,1,0
74,Dell,3,3,1,7,15.6,0.965517241,8,256,4.41,Medium,2323,Medium,1,0
75,Lenovo,3,2,1,5,15.6,0.551724138,8,256,4.52025,Heavy,939,Low,1,0
76,Acer,3,3,2,7,15.6,0.965517241,8,256,5.5125,Heavy,1244,Low,1,0
77,Dell,5,3,1,7,17.3,1,16,256,7.5411,Heavy,3665,High,1,0
78,Toshiba,3,3,1,7,15,0.862068966,8,256,4.851,Heavy,1325,Low,0,1
79,Lenovo,3,2,1,5,13,0.862068966,8,256,2.4255,Light,1269,Low,0,1
80,HP,3,2,1,5,14,0.862068966,8,256,4.29975,Medium,1245,Low,1,0
81,HP,3,2,1,7,14,0.931034483,8,256,3.2634,Medium,1641,Medium,1,0
82,Asus,3,2,1,7,14,0.931034483,8,256,4.41,Medium,1390,Low,1,0
83,Asus,4,3,1,7,15.6,0.931034483,8,256,3.7485,Medium,1334,Low,1,0
84,HP,4,2,1,7,12.5,0.931034483,8,256,2.7783,Light,1696,Medium,1,0
85,Toshiba,3,2,1,5,15,0.862068966,8,256,4.41,Medium,1198,Low,0,1
86,Asus,1,3,1,7,15.6,0.965517241,8,256,5.5125,Heavy,1269,Low,1,0
87,HP,3,2,1,5,14,0.896551724,8,256,3.2634,Medium,1611,Low,1,0
88,HP,3,2,1,5,15.6,0.862068966,8,256,4.0572,Medium,1453,Low,1,0
89,Dell,3,3,1,5,15.6,0.551724138,8,256,4.41,Medium,1452,Low,1,0
90,Dell,4,2,1,7,13.3,0.620689655,8,256,2.646,Light,2006,Medium,1,0
91,HP,3,2,1,7,15.6,0.931034483,8,256,4.0572,Medium,1656,Medium,1,0
92,HP,5,3,1,7,15.6,0.965517241,8,256,5.733,Heavy,2208,Medium,1,0
93,Dell,3,2,1,5,14,0.896551724,8,256,2.9988,Light,1813,Medium,1,0
94,Asus,3,2,1,5,14,0.862068966,8,256,4.41,Medium,1200,Low,1,0
95,Dell,3,1,1,7,15.6,0.931034483,8,256,5.13765,Heavy,1142,Low,1,0
96,HP,4,2,1,7,14,0.931034483,8,256,2.9988,Light,2223,Medium,0,1
97,Lenovo,3,3,1,5,14,0.862068966,8,256,3.3075,Medium,1396,Low,0,1
98,Lenovo,3,2,1,3,13,0.827586207,4,128,3.3075,Medium,697,Low,0,1
99,Dell,5,3,1,7,15,0.931034483,8,256,4.41,Medium,2712,Medium,0,1
100,MSI,1,3,1,7,17.3,0.965517241,8,256,5.9535,Heavy,1714,Medium,1,0
101,Dell,3,1,2,7,15.6,0.931034483,8,256,5.13765,Heavy,989,Low,1,0
102,Lenovo,3,1,1,7,15,0.620689655,8,256,4.6305,Heavy,1562,Low,0,1
103,Lenovo,3,2,1,5,14,0.862068966,8,256,4.1895,Medium,1192,Low,0,1
104,Acer,3,3,2,7,15.6,0.965517241,8,256,5.5125,Heavy,1117,Low,1,0
105,Dell,3,1,2,5,15.6,0.862068966,4,256,5.0715,Heavy,761,Low,1,0
106,HP,4,2,1,7,14,0.862068966,8,256,3.15315,Light,1905,Medium,1,0
107,Lenovo,4,1,1,7,14,0.620689655,8,256,3.85875,Medium,1544,Low,0,1
108,HP,3,2,1,7,15.6,1,8,256,5.09355,Heavy,1813,Medium,1,0
109,Dell,4,2,2,7,14,0.965517241,8,256,3.528,Medium,1396,Low,1,0
110,Lenovo,3,2,1,7,13,0.931034483,8,256,3.087,Light,1283,Low,0,1
111,Lenovo,3,2,1,3,14,0.931034483,4,128,3.7485,Medium,761,Low,0,1
112,Asus,3,2,2,5,15.6,0.862068966,4,256,4.41,Medium,710,Low,1,0
113,Dell,3,1,1,5,15.6,0.551724138,4,256,4.851,Heavy,951,Low,1,0
114,Lenovo,4,2,1,5,12,0.862068966,8,256,2.9988,Light,1815,Medium,0,1
115,Dell,3,3,1,5,14,0.965517241,8,256,3.6162,Medium,1498,Low,1,0
116,MSI,1,3,1,5,15.6,0.862068966,8,256,4.851,Heavy,1306,Low,1,0
117,Dell,5,3,1,7,15,0.931034483,16,256,4.78485,Heavy,2509,Medium,0,1
118,Lenovo,3,2,1,5,14,0.862068966,8,256,3.63825,Medium,1709,Medium,1,0
119,Lenovo,3,3,1,7,15.6,1,8,256,5.88735,Heavy,2655,Medium,1,0
120,Dell,4,2,1,5,15.6,0.551724138,8,256,3.1311,Light,2340,Medium,1,0
121,Dell,5,3,1,7,15.6,0.965517241,8,256,3.9249,Medium,3059,High,1,0
122,Toshiba,3,2,1,5,13,0.862068966,8,256,2.31525,Light,2124,Medium,0,1
123,HP,3,2,1,5,13,0.551724138,4,128,3.28545,Medium,922,Low,0,1
124,Lenovo,3,2,1,5,14,0.551724138,8,256,3.85875,Medium,1333,Low,0,1
125,Lenovo,3,3,1,5,15,0.862068966,8,256,5.0715,Heavy,1286,Low,0,1
126,Lenovo,3,2,1,7,15.6,0.620689655,8,256,4.78485,Heavy,1142,Low,1,0
127,Lenovo,3,2,1,3,13,0.827586207,8,256,3.087,Light,1206,Low,0,1
128,Lenovo,3,2,1,5,15,0.862068966,8,256,5.0715,Heavy,1157,Low,0,1
129,Lenovo,3,2,1,5,13.3,0.862068966,8,256,3.1752,Light,1206,Low,1,0
130,Dell,4,2,1,5,13.3,0.862068966,8,128,2.84445,Light,1142,Low,0,1
131,HP,3,3,1,5,15.6,0.862068966,8,256,4.4982,Medium,1129,Low,1,0
132,HP,4,2,1,7,13,0.931034483,8,256,2.9106,Light,1777,Medium,0,1
133,Dell,3,2,1,5,14,0.896551724,8,256,3.6162,Medium,1626,Medium,1,0
134,Lenovo,3,2,1,5,14,0.793103448,8,256,4.4541,Medium,1702,Medium,1,0
135,Dell,3,2,1,5,15.6,0.965517241,8,256,4.1895,Medium,1749,Medium,1,0
136,Dell,3,3,1,7,15.6,0.965517241,8,256,4.25565,Medium,1739,Medium,1,0
137,Dell,3,1,1,5,15.6,0.551724138,8,256,4.851,Heavy,1013,Low,1,0
138,Lenovo,3,3,1,7,14,0.931034483,8,256,4.12335,Medium,1091,Low,0,1
139,Dell,3,2,1,3,14,0.689655172,4,128,3.528,Medium,935,Low,1,0
140,HP,3,2,1,3,15.6,0.827586207,4,128,4.6305,Heavy,896,Low,1,0
141,Lenovo,3,2,1,3,15.6,0.689655172,4,128,4.851,Heavy,634,Low,1,0
142,Dell,3,2,1,5,15.6,0.862068966,8,256,4.1895,Medium,1419,Low,1,0
143,Lenovo,3,2,1,3,15.6,0.931034483,4,128,4.52025,Heavy,800,Low,1,0
144,Lenovo,3,3,1,7,17,0.965517241,8,256,7.497,Heavy,3810,High,0,1
145,Lenovo,3,2,1,5,15.6,0.862068966,8,256,5.0715,Heavy,1054,Low,1,0
146,Dell,3,1,2,7,15.6,0.931034483,8,256,4.851,Heavy,951,Low,1,0
147,HP,3,2,1,3,13.3,0.827586207,4,128,3.28545,Medium,913,Low,1,0
148,Dell,3,3,1,7,15.6,0.965517241,16,256,4.25565,Medium,1953,Medium,1,0
149,Lenovo,4,2,1,7,14,0.896551724,12,256,3.087,Light,2125,Medium,0,1
150,Lenovo,3,2,1,5,14,0.862068966,8,256,3.7485,Medium,1872,Medium,0,1
151,Dell,5,3,1,7,15.6,0.965517241,8,256,4.5423,Heavy,2240,Medium,1,0
152,HP,3,2,1,7,15.6,0.931034483,8,256,4.0572,Medium,1548,Low,1,0
153,Toshiba,3,2,1,7,15,0.862068966,8,256,4.851,Heavy,1777,Medium,0,1
154,Dell,3,1,2,5,15.6,0.862068966,4,128,4.8069,Heavy,723,Low,1,0
155,Lenovo,3,2,1,5,14,0.793103448,8,256,3.63825,Medium,1861,Medium,1,0
156,Dell,3,3,1,7,15.6,0.965517241,8,256,4.41,Medium,2312,Medium,1,0
157,Lenovo,3,2,1,5,15.6,0.551724138,4,256,3.969,Medium,1053,Low,1,0
158,Acer,4,2,1,5,14,0.862068966,8,256,3.969,Medium,1167,Low,0,1
159,Razer,1,3,1,7,14,0.965517241,16,256,4.29975,Medium,3301,High,1,0
160,Toshiba,3,2,1,5,13.3,0.793103448,8,256,2.646,Light,1541,Low,1,0
161,Lenovo,4,2,1,7,12,0.931034483,8,256,2.9988,Light,2012,Medium,0,1
162,Dell,4,2,1,5,13.3,0.551724138,8,256,2.646,Light,1842,Medium,1,0
163,Dell,3,1,1,7,15.6,0.620689655,8,256,4.851,Heavy,1167,Low,1,0
164,Dell,3,2,1,5,14,0.827586207,8,256,3.4398,Medium,1561,Low,1,0
165,Toshiba,3,2,1,5,15,0.862068966,8,256,4.41,Medium,1598,Low,0,1
166,Asus,4,2,1,5,14,0.862068966,8,256,2.4255,Light,1442,Low,1,0
167,Acer,1,3,1,5,15.6,0.862068966,16,256,5.5125,Heavy,1650,Medium,1,0
168,MSI,1,3,1,5,15.6,0.862068966,8,256,4.851,Heavy,1268,Low,1,0
169,HP,3,1,1,3,17,0.689655172,4,256,5.5125,Heavy,888,Low,0,1
170,Lenovo,3,2,1,5,14,0.862068966,4,256,3.7485,Medium,888,Low,1,0
171,Toshiba,3,2,1,5,13,0.862068966,8,256,3.3075,Medium,1236,Low,0,1
172,Dell,3,2,1,5,15.6,0.862068966,8,256,4.8069,Heavy,1010,Low,1,0
173,Lenovo,3,2,1,5,14,0.793103448,8,256,3.969,Medium,1513,Low,1,0
174,Dell,3,3,2,5,14,0.965517241,8,256,3.6162,Medium,1383,Low,1,0
175,Lenovo,3,3,1,5,14,0.862068966,8,256,4.12335,Medium,1089,Low,0,1
176,Dell,3,2,1,5,15.6,0.896551724,8,256,4.1895,Medium,1498,Low,1,0
177,HP,3,3,1,7,17.3,0.931034483,8,256,5.79915,Heavy,1524,Low,1,0
178,Lenovo,4,2,1,5,14,0.862068966,8,256,2.9106,Light,1904,Medium,0,1
179,Lenovo,3,2,1,5,13,0.862068966,8,256,3.1752,Light,1219,Low,0,1
180,HP,5,3,1,7,15.6,0.965517241,16,256,5.733,Heavy,3073,High,1,0
181,Toshiba,3,2,1,5,14,0.862068966,8,256,2.75625,Light,1950,Medium,0,1
182,Samsung,4,2,1,7,13.3,0.931034483,16,256,1.78605,Light,2095,Medium,1,0
183,HP,3,2,1,3,15.6,0.689655172,8,256,4.1013,Medium,685,Low,1,0
184,HP,3,2,1,5,15.6,0.827586207,8,256,4.0572,Medium,2414,Medium,1,0
185,HP,5,3,1,7,15.6,0.896551724,8,256,5.71095,Heavy,1983,Medium,1,0
186,Dell,4,2,1,7,12.5,0.965517241,16,256,2.6019,Light,2361,Medium,1,0
187,Samsung,4,2,1,7,15.6,0.931034483,8,256,2.88855,Light,2031,Medium,1,0
188,Dell,3,1,1,7,15.6,0.931034483,16,256,5.0715,Heavy,1501,Low,1,0
189,Acer,3,2,1,3,14,0.827586207,4,128,3.969,Medium,808,Low,0,1
190,Dell,1,3,1,5,15.6,0.862068966,8,256,5.7771,Heavy,1251,Low,1,0
191,Dell,3,1,1,3,15.6,0.689655172,8,256,4.41,Medium,939,Low,1,0
192,HP,5,3,1,7,15.6,0.965517241,8,256,6.9237,Heavy,2623,Medium,1,0
193,Asus,3,2,1,5,15.6,0.862068966,8,256,5.22585,Heavy,1396,Low,1,0
194,Dell,4,2,1,5,13.3,0.862068966,8,256,2.84445,Light,1904,Medium,1,0
195,Samsung,4,2,1,5,13.3,0.862068966,8,256,1.78605,Light,1904,Medium,1,0
196,Dell,3,1,1,5,15.6,0.862068966,8,256,4.8069,Heavy,1003,Low,1,0
197,Lenovo,4,2,1,7,14,0.931034483,8,256,2.9106,Light,2361,Medium,1,0
198,MSI,1,3,1,5,15.6,0.862068966,8,256,5.292,Heavy,1523,Low,1,0
199,Acer,3,2,1,3,14,0.827586207,8,128,3.3075,Medium,786,Low,0,1
200,Lenovo,3,2,1,5,14,0.793103448,8,256,3.7485,Medium,1507,Low,1,0
201,Lenovo,3,2,1,5,14,0.896551724,8,256,2.9106,Light,2096,Medium,0,1
202,Dell,3,1,1,7,15.6,0.931034483,4,256,4.8069,Heavy,939,Low,1,0
203,Lenovo,4,3,1,7,14,0.965517241,8,256,4.3218,Medium,2417,Medium,0,1
204,Asus,3,3,1,7,15,0.931034483,8,256,5.0715,Heavy,1000,Low,0,1
205,Dell,3,2,1,5,15.6,0.862068966,8,128,4.1895,Medium,1200,Low,1,0
206,HP,3,1,1,5,15.6,0.896551724,8,256,4.0572,Medium,1714,Medium,1,0
207,Toshiba,3,2,1,5,13.3,0.862068966,4,128,2.31525,Light,1632,Medium,1,0
208,Acer,3,2,1,5,14,0.862068966,8,256,3.4398,Medium,1146,Low,0,1
209,Toshiba,3,2,1,7,15,0.931034483,8,256,4.41,Medium,1763,Medium,0,1
210,Samsung,4,3,1,7,15,0.931034483,16,256,2.71215,Light,2349,Medium,1,0
211,Dell,4,2,1,7,12.5,0.965517241,8,256,3.528,Medium,2147,Medium,1,0
212,Xiaomi,4,3,1,5,13,0.793103448,8,256,2.8224,Light,1188,Low,0,1
213,HP,3,2,1,5,15.6,0.862068966,4,256,4.4982,Medium,1066,Low,1,0
214,HP,3,2,1,5,14,0.862068966,4,128,4.29975,Medium,1607,Low,1,0
215,Samsung,4,2,1,7,15,0.931034483,8,256,2.57985,Light,2158,Medium,1,0
216,Lenovo,4,2,1,5,14,0.862068966,8,256,2.9106,Light,2285,Medium,0,1
217,Toshiba,3,2,1,5,13.3,0.862068966,8,256,2.31525,Light,1874,Medium,1,0
218,Dell,3,2,1,5,14,0.965517241,8,256,3.528,Medium,1531,Low,1,0
219,Lenovo,3,3,1,7,15.6,0.931034483,6,256,4.851,Heavy,1002,Low,1,0
220,HP,3,3,1,7,15.6,0.931034483,8,256,4.4982,Medium,1294,Low,1,0
221,Lenovo,3,2,1,5,13.3,0.862068966,4,128,3.1752,Light,1119,Low,1,0
222,HP,3,2,1,5,13.3,0.862068966,8,256,3.28545,Medium,1219,Low,1,0
223,HP,4,1,1,7,15.6,0.862068966,8,256,4.0572,Medium,1648,Medium,1,0
224,Toshiba,3,3,1,7,15,0.896551724,16,256,5.292,Heavy,2509,Medium,0,1
225,Lenovo,4,2,1,7,12,0.931034483,8,256,2.9988,Light,2096,Medium,0,1
226,HP,3,2,1,5,15.6,0.793103448,8,256,5.09355,Heavy,1480,Low,1,0
227,Toshiba,3,2,1,5,14,0.793103448,4,128,3.24135,Light,1404,Low,0,1
228,HP,2,2,1,5,12.5,0.793103448,8,256,2.7783,Light,2120,Medium,1,0
229,Dell,4,2,1,5,14,0.862068966,8,256,2.9988,Light,2082,Medium,1,0
230,Dell,4,2,1,5,15.6,0.862068966,8,256,2.9988,Light,1870,Medium,1,0
231,Dell,4,2,1,7,14,0.965517241,8,256,2.9988,Light,2255,Medium,1,0
232,Toshiba,3,2,1,5,13.3,0.793103448,8,256,2.646,Light,1855,Medium,1,0
233,Lenovo,4,2,1,7,14,0.896551724,8,256,3.7485,Medium,1891,Medium,0,1
234,Toshiba,3,2,1,5,13.3,0.827586207,8,256,2.646,Light,1950,Medium,1,0
235,Lenovo,4,2,1,5,12,0.896551724,8,256,2.9988,Light,2236,Medium,0,1
236,Lenovo,3,3,1,5,15.6,0.862068966,6,256,5.292,Heavy,883,Low,1,0
237,Toshiba,3,2,1,5,14,0.793103448,8,256,4.29975,Medium,1499,Low,1,0
